"Horaire début
période",L1,L5,L10,L50,L90,LAeq
3:00:00 PM,74.2,69.7,68.1,64,59.2,65.8
3:15:00 PM,74.6,68.8,67.4,63.3,58.6,65.1
3:30:00 PM,75.5,70.2,68.6,63.4,57.3,66.5
3:45:00 PM,72.4,69.1,67.9,64.2,61.4,65.9
4:00:00 PM,80.2,73.9,71.4,65.6,62.6,69.6
4:15:00 PM,72.9,69.3,67.8,64.3,60.4,67.6
4:30:00 PM,73.1,69.4,68.3,64.8,60.8,66.5
4:45:00 PM,72.2,68.3,66.9,62.8,58.2,64.6
5:00:00 PM,76.3,71.9,70.6,65.3,61.5,67.8
5:15:00 PM,72.1,68.7,67.7,64.2,61.3,65.4
5:30:00 PM,74.2,68.7,67.4,63.8,61.1,67.5
5:45:00 PM,76.6,69.2,67.9,64.3,61,66.1
6:00:00 PM,79.9,72.8,68.8,64.5,60.9,68
6:15:00 PM,79.5,72.4,70.9,64.9,61.8,70.9
6:30:00 PM,75,70,68.3,63.7,59.2,66.4
6:45:00 PM,71.9,68.9,67.5,63.3,59.1,64.9
7:00:00 PM,76.5,71.5,69.6,65.6,62,67.5
7:15:00 PM,73,70.1,68.5,63.8,55.3,65.5
7:30:00 PM,74.4,70.4,67.9,62.3,53.6,64.9
7:45:00 PM,73.1,69.2,67.7,63.1,55.1,64.7
8:00:00 PM,70.8,69.2,67.8,61.9,53.3,64
8:15:00 PM,73.6,68.9,67.6,62.2,53.8,64.5
8:30:00 PM,71.9,69.1,67.8,61.7,52.1,64.2
8:45:00 PM,82.1,71.3,68.5,61.2,50.7,68.9
9:00:00 PM,71.5,68,66.7,58.9,50.3,62.7
9:15:00 PM,72.5,68.8,67,57.1,50.6,63.3
9:30:00 PM,72.3,69.4,67.7,56.4,49.3,63.5
9:45:00 PM,71.3,67.7,65.9,55.5,50,61.7
10:00:00 PM,71.1,68,65.9,55.8,50.1,61.8
10:15:00 PM,71.2,67.5,65.1,55.6,54.3,61.1
10:30:00 PM,70.5,68,65.9,55,53.9,61.2
10:45:00 PM,71.7,67.8,65.5,54.1,47.1,60.9
11:00:00 PM,71.7,65.2,61,47.9,46.3,58.7
11:15:00 PM,70.4,65.7,61.7,48,46.6,58.4
11:30:00 PM,69.7,61.2,53.8,46.5,45.9,56.1
11:45:00 PM,66.9,59.7,54.8,46.9,46.1,53.8
