time date,Laq
11/11/2008 15:00,71.6
11/11/2008 15:15,73.3
11/11/2008 15:30,67.4
11/11/2008 15:45,67.8
11/11/2008 16:00,67.7
11/11/2008 16:15,69.7
11/11/2008 16:30,69.2
11/11/2008 16:45,67.7
11/11/2008 17:00,68.7
11/11/2008 17:15,67.3
11/11/2008 17:30,70.3
11/11/2008 17:45,69.7
11/11/2008 18:00,66.7
11/11/2008 18:15,67
11/11/2008 18:30,66.6
11/11/2008 18:45,67.4
11/11/2008 19:00,70.3
11/11/2008 19:15,70.6
11/11/2008 19:30,67.2
11/11/2008 19:45,69.3
11/11/2008 20:00,70.9
11/11/2008 20:15,69.1
11/11/2008 20:30,66.8
11/11/2008 20:45,67.1
11/11/2008 21:00,65.1
11/11/2008 21:15,64.1
11/11/2008 21:30,64.5
11/11/2008 21:45,62.9
11/11/2008 22:00,63.8
11/11/2008 22:15,62.9
11/11/2008 22:30,61.1
11/11/2008 22:45,64.1
11/11/2008 23:00,65.1
11/11/2008 23:15,62.3
11/11/2008 23:30,60.9
11/11/2008 23:45,62.4
11/11/2008 0:00,60
11/11/2008 0:15,57.1
11/11/2008 0:30,54.4
11/11/2008 0:45,53.5
11/11/2008 1:00,55.8
11/11/2008 1:15,50.3
11/11/2008 1:30,55
11/11/2008 1:45,49
11/11/2008 2:00,52.9
11/11/2008 2:15,45
11/11/2008 2:30,48.1
11/11/2008 2:45,46.1
12/11/2008 3:00,55.2
12/11/2008 3:15,48.2
12/11/2008 3:30,48.4
12/11/2008 3:45,50.8
12/11/2008 4:00,52.4
12/11/2008 4:15,55
12/11/2008 4:30,51.7
12/11/2008 4:45,54
12/11/2008 5:00,53.5
12/11/2008 5:15,68.5
12/11/2008 5:30,59.4
12/11/2008 5:45,68.4
12/11/2008 6:00,63.9
12/11/2008 6:15,60.6
12/11/2008 6:30,63.2
12/11/2008 6:45,62.1
12/11/2008 7:00,64.7
12/11/2008 7:15,67.1
12/11/2008 7:30,65.8
12/11/2008 7:45,68
12/11/2008 8:00,69.7
12/11/2008 8:15,67
12/11/2008 8:30,67.7
12/11/2008 8:45,68.3
12/11/2008 9:00,67.8
12/11/2008 9:15,67.1
12/11/2008 9:30,67.3
12/11/2008 9:45,67.3
12/11/2008 10:00,66.9
12/11/2008 10:15,67.7
12/11/2008 10:30,67.5
12/11/2008 10:45,67.8
12/11/2008 11:00,67.5
12/11/2008 11:15,68.6
12/11/2008 11:30,67
12/11/2008 11:45,67.1
12/11/2008 12:00,67.8
12/11/2008 12:15,68.4
12/11/2008 12:30,70.1
12/11/2008 12:45,68.5
12/11/2008 13:00,68.3
12/11/2008 13:15,68
12/11/2008 13:30,67.8
12/11/2008 13:45,67
12/11/2008 14:00,67.6
12/11/2008 14:15,67.4
12/11/2008 14:30,74.3
12/11/2008 14:45,89.4
