time date,Laq
11/11/2008 15:00,65.8
11/11/2008 15:15,65.1
11/11/2008 15:30,66.5
11/11/2008 15:45,65.9
11/11/2008 16:00,69.6
11/11/2008 16:15,67.6
11/11/2008 16:30,66.5
11/11/2008 16:45,64.6
11/11/2008 17:00,67.8
11/11/2008 17:15,65.4
11/11/2008 17:30,67.5
11/11/2008 17:45,66.1
11/11/2008 18:00,68
11/11/2008 18:15,70.9
11/11/2008 18:30,66.4
11/11/2008 18:45,64.9
11/11/2008 19:00,67.5
11/11/2008 19:15,65.5
11/11/2008 19:30,64.9
11/11/2008 19:45,64.7
11/11/2008 20:00,64
11/11/2008 20:15,64.5
11/11/2008 20:30,64.2
11/11/2008 20:45,68.9
11/11/2008 21:00,62.7
11/11/2008 21:15,63.3
11/11/2008 21:30,63.5
11/11/2008 21:45,61.7
11/11/2008 22:00,61.8
11/11/2008 22:15,61.1
11/11/2008 22:30,61.2
11/11/2008 22:45,60.9
11/11/2008 23:00,58.7
11/11/2008 23:15,58.4
11/11/2008 23:30,56.1
11/11/2008 23:45,53.8
11/11/2008 0:00,56.1
11/11/2008 0:15,57.2
11/11/2008 0:30,54.8
11/11/2008 0:45,49.6
11/11/2008 1:00,51.7
11/11/2008 1:15,49
11/11/2008 1:30,46.6
11/11/2008 1:45,48.8
11/11/2008 2:00,48.1
11/11/2008 2:15,49
11/11/2008 2:30,46.9
11/11/2008 2:45,46.2
12/11/2008 3:00,52.9
12/11/2008 3:15,49.6
12/11/2008 3:30,52.4
12/11/2008 3:45,51
12/11/2008 4:00,49.1
12/11/2008 4:15,55.3
12/11/2008 4:30,55.2
12/11/2008 4:45,54.9
12/11/2008 5:00,55.5
12/11/2008 5:15,56.6
12/11/2008 5:30,61.4
12/11/2008 5:45,58.8
12/11/2008 6:00,59.8
12/11/2008 6:15,59.2
12/11/2008 6:30,60
12/11/2008 6:45,64.5
12/11/2008 7:00,63.4
12/11/2008 7:15,65.5
12/11/2008 7:30,64.7
12/11/2008 7:45,66.4
12/11/2008 8:00,67.1
12/11/2008 8:15,65.7
12/11/2008 8:30,64.8
12/11/2008 8:45,66.3
12/11/2008 9:00,65.1
12/11/2008 9:15,65
12/11/2008 9:30,65
12/11/2008 9:45,64.6
12/11/2008 10:00,65.6
12/11/2008 10:15,65.2
12/11/2008 10:30,63.4
12/11/2008 10:45,65
12/11/2008 11:00,64.4
12/11/2008 11:15,66.7
12/11/2008 11:30,68
12/11/2008 11:45,68.4
12/11/2008 12:00,65.5
12/11/2008 12:15,69
12/11/2008 12:30,65.9
12/11/2008 12:45,66.9
12/11/2008 13:00,65.8
12/11/2008 13:15,66
12/11/2008 13:30,65.2
12/11/2008 13:45,64.6
12/11/2008 14:00,65.8
12/11/2008 14:15,65.6
12/11/2008 14:30,66.8
12/11/2008 14:45,66
