"Horaire début
période",LAeq,,,,
3:00:00 PM,65.8,,,,
3:15:00 PM,65.1,,,,
3:30:00 PM,66.5,,,,
3:45:00 PM,65.9,,,,
4:00:00 PM,69.6,,,,
4:15:00 PM,67.6,,,,
4:30:00 PM,66.5,,,,
4:45:00 PM,64.6,,,,
5:00:00 PM,67.8,,,,
5:15:00 PM,65.4,,,,
5:30:00 PM,67.5,,,,
5:45:00 PM,66.1,,,,
6:00:00 PM,68,,,,
6:15:00 PM,70.9,,,,
6:30:00 PM,66.4,,,,
6:45:00 PM,64.9,,,,
7:00:00 PM,67.5,,,,
7:15:00 PM,65.5,,,,
7:30:00 PM,64.9,,,,
7:45:00 PM,64.7,,,,
8:00:00 PM,64,,,,
8:15:00 PM,64.5,,,,
8:30:00 PM,64.2,,,,
8:45:00 PM,68.9,,,,
9:00:00 PM,62.7,,,,
9:15:00 PM,63.3,,,,
9:30:00 PM,63.5,,,,
9:45:00 PM,61.7,,,,
10:00:00 PM,61.8,,,,
10:15:00 PM,61.1,,,,
10:30:00 PM,61.2,,,,
10:45:00 PM,60.9,,,,
11:00:00 PM,58.7,,,,
11:15:00 PM,58.4,,,,
11:30:00 PM,56.1,,,,
11:45:00 PM,53.8,,,,
12:00:00 AM,56.1,,,,
12:15:00 AM,57.2,,,,
12:30:00 AM,54.8,,,,
12:45:00 AM,49.6,,,,
1:00:00 AM,51.7,,,,
1:15:00 AM,49,,,,
1:30:00 AM,46.6,,,,
1:45:00 AM,48.8,,,,
2:00:00 AM,48.1,,,,
2:15:00 AM,49,,,,
2:30:00 AM,46.9,,,,
2:45:00 AM,46.2,,,,
3:00:00 AM,52.9,,,,
3:15:00 AM,49.6,,,,
3:30:00 AM,52.4,,,,
3:45:00 AM,51,,,,
4:00:00 AM,49.1,,,,
4:15:00 AM,55.3,,,,
4:30:00 AM,55.2,,,,
4:45:00 AM,54.9,,,,
5:00:00 AM,55.5,,,,
5:15:00 AM,56.6,,,,
5:30:00 AM,61.4,,,,
5:45:00 AM,58.8,,,,
6:00:00 AM,59.8,,,,
6:15:00 AM,59.2,,,,
6:30:00 AM,60,,,,
6:45:00 AM,64.5,,,,
7:00:00 AM,63.4,,,,
7:15:00 AM,65.5,,,,
7:30:00 AM,64.7,,,,
7:45:00 AM,66.4,,,,
8:00:00 AM,67.1,,,,
8:15:00 AM,65.7,,,,
8:30:00 AM,64.8,,,,
8:45:00 AM,66.3,,,,
9:00:00 AM,65.1,,,,
9:15:00 AM,65,,,,
9:30:00 AM,65,,,,
9:45:00 AM,64.6,,,,
10:00:00 AM,65.6,,,,
10:15:00 AM,65.2,,,,
10:30:00 AM,63.4,,,,
10:45:00 AM,65,,,,
11:00:00 AM,64.4,,,,
11:15:00 AM,66.7,,,,
11:30:00 AM,68,,,,
11:45:00 AM,68.4,,,,
12:00:00 PM,65.5,,,,
12:15:00 PM,69,,,,
12:30:00 PM,65.9,,,,
12:45:00 PM,66.9,,,,
1:00:00 PM,65.8,,,,
1:15:00 PM,66,,,,
1:30:00 PM,65.2,,,,
1:45:00 PM,64.6,,,,
2:00:00 PM,65.8,,,,
2:15:00 PM,65.6,,,,
2:30:00 PM,66.8,,,,
2:45:00 PM,66,,,,
