"Horaire début
période",LAeq
39763.625,65.8
39763.63542,65.1
39763.64583,66.5
39763.65625,65.9
39763.66667,69.6
39763.67708,67.6
39763.6875,66.5
39763.69792,64.6
39763.70833,67.8
39763.71875,65.4
39763.72917,67.5
39763.73958,66.1
39763.75,68
39763.76042,70.9
39763.77083,66.4
39763.78125,64.9
39763.79167,67.5
39763.80208,65.5
39763.8125,64.9
39763.82292,64.7
39763.83333,64
39763.84375,64.5
39763.85417,64.2
39763.86458,68.9
39763.875,62.7
39763.88542,63.3
39763.89583,63.5
39763.90625,61.7
39763.91667,61.8
39763.92708,61.1
39763.9375,61.2
39763.94792,60.9
39763.95833,58.7
39763.96875,58.4
39763.97917,56.1
39763.98958,53.8
39763,56.1
39763.01042,57.2
39763.02083,54.8
39763.03125,49.6
39763.04167,51.7
39763.05208,49
39763.0625,46.6
39763.07292,48.8
39763.08333,48.1
39763.09375,49
39763.10417,46.9
39763.11458,46.2
39793.125,52.9
39793.13542,49.6
39793.14583,52.4
39793.15625,51
39793.16667,49.1
39793.17708,55.3
39793.1875,55.2
39793.19792,54.9
39793.20833,55.5
39793.21875,56.6
39793.22917,61.4
39793.23958,58.8
39793.25,59.8
39793.26042,59.2
39793.27083,60
39793.28125,64.5
39793.29167,63.4
39793.30208,65.5
39793.3125,64.7
39793.32292,66.4
39793.33333,67.1
39793.34375,65.7
39793.35417,64.8
39793.36458,66.3
39793.375,65.1
39793.38542,65
39793.39583,65
39793.40625,64.6
39793.41667,65.6
39793.42708,65.2
39793.4375,63.4
39793.44792,65
39793.45833,64.4
39793.46875,66.7
39793.47917,68
39793.48958,68.4
39793.5,65.5
39793.51042,69
39793.52083,65.9
39793.53125,66.9
39793.54167,65.8
39793.55208,66
39793.5625,65.2
39793.57292,64.6
39793.58333,65.8
39793.59375,65.6
39793.60417,66.8
39793.61458,66
